,season_name,player,team,matches_played,goals,shots,xg,passes,completed_passes,key_passes,tackles,interceptions,recoveries,aerial_duels,fouls,yellow_cards,red_cards,dribbles_attempted,successful_dribbles,minutes_played,position,goals_p90,shots_p90,passes_p90,completed_passes_p90,key_passes_p90,tackles_p90,interceptions_p90,recoveries_p90,aerial_duels_p90,fouls_p90,dribbles_attempted_p90,successful_dribbles_p90,xg_p90,attempted_pass,pass_completion_pct,attempted_dribble,dribble_success_pct,took_shot,shot_conversion,xg_overperformance,position_group,yellow_cards_p90,red_cards_p90
1152,2022,Luke Shaw,England,5,0,3,0.08,402,339,7,10,3,15,0,5,0,0,1,1,438,Left Back,0.0,0.6164383561643836,82.60273972602741,69.65753424657535,1.4383561643835618,2.0547945205479454,0.6164383561643836,3.082191780821918,0.0,1.0273972602739727,0.20547945205479454,0.20547945205479454,0.016438356164383564,1,0.8432835820895522,1,1.0,1,0.0,-0.08,Defender,0.0,0.0
1153,2022,Lukas Klostermann,Germany,2,0,0,0.0,47,46,0,3,1,1,0,1,0,0,0,0,192,Right Back,0.0,0.0,22.03125,21.5625,0.0,1.40625,0.46875,0.46875,0.0,0.46875,0.0,0.0,0.0,1,0.9787234042553191,0,0.0,0,0.0,0.0,Defender,0.0,0.0
1154,2022,Luka Jović,Serbia,2,0,2,0.06,10,7,1,2,1,0,0,1,0,0,0,0,147,Right Center Forward,0.0,1.2244897959183674,6.122448979591836,4.285714285714286,0.6122448979591837,1.2244897959183674,0.6122448979591837,0.0,0.0,0.6122448979591837,0.0,0.0,0.03673469387755102,1,0.7,0,0.0,1,0.0,-0.06,Forward,0.0,0.0
1155,2022,Luis Alberto Suárez Díaz,Uruguay,3,0,2,0.36,40,26,0,5,0,3,0,0,0,0,2,2,228,Right Center Forward,0.0,0.7894736842105263,15.789473684210527,10.263157894736842,0.0,1.973684210526316,0.0,1.1842105263157896,0.0,0.0,0.7894736842105263,0.7894736842105263,0.14210526315789473,1,0.65,1,1.0,1,0.0,-0.36,Forward,0.0,0.0
1156,2022,Lucas Daniel Cavallini,Canada,1,0,0,0.0,3,3,0,0,0,0,0,1,0,0,0,0,95,Left Center Forward,0.0,0.0,2.8421052631578947,2.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,0.0,Forward,0.0,0.0
1157,2022,Maya Yoshida,Japan,4,0,1,0.78,227,201,0,12,9,9,0,4,1,0,3,2,409,Center Back,0.0,0.22004889975550124,49.95110024449878,44.229828850855746,0.0,2.640586797066015,1.9804400977995111,1.9804400977995111,0.0,0.880195599022005,0.6601466992665037,0.4400977995110025,0.17163814180929096,1,0.8854625550660793,1,0.6666666666666666,1,0.0,-0.78,Defender,0.22004889975550124,0.0
1158,2022,Maximiliano Gómez González,Uruguay,2,0,2,0.08,7,4,0,1,0,1,0,1,0,0,0,0,196,Left Center Forward,0.0,0.9183673469387756,3.2142857142857144,1.8367346938775513,0.0,0.4591836734693878,0.0,0.4591836734693878,0.0,0.4591836734693878,0.0,0.0,0.036734693877551024,1,0.5714285714285714,0,0.0,1,0.0,-0.08,Forward,0.0,0.0
1159,2022,Matías Vecino Falero,Uruguay,3,0,1,0.05,103,82,1,9,5,10,0,4,0,0,2,0,235,Left Center Midfield,0.0,0.3829787234042553,39.4468085106383,31.404255319148934,0.3829787234042553,3.4468085106382977,1.9148936170212765,3.829787234042553,0.0,1.5319148936170213,0.7659574468085106,0.0,0.019148936170212766,1,0.7961165048543689,1,0.0,1,0.0,-0.05,Midfielder,0.0,0.0
1160,2022,Matías Nicolás Viña Susperreguy,Uruguay,2,0,0,0.0,20,12,0,4,0,2,0,1,0,0,1,1,195,Left Back,0.0,0.0,9.230769230769232,5.538461538461539,0.0,1.8461538461538463,0.0,0.9230769230769231,0.0,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.0,1,0.6,1,1.0,0,0.0,0.0,Defender,0.0,0.0
1161,2022,Matty Cash,Poland,4,0,1,0.02,156,121,2,10,2,8,0,7,2,0,1,0,366,Right Back,0.0,0.24590163934426232,38.36065573770492,29.75409836065574,0.49180327868852464,2.459016393442623,0.49180327868852464,1.9672131147540985,0.0,1.7213114754098362,0.24590163934426232,0.0,0.004918032786885246,1,0.7756410256410257,1,0.0,1,0.0,-0.02,Defender,0.49180327868852464,0.0
1162,2022,Matthijs de Ligt,Netherlands,2,0,0,0.0,45,40,0,2,1,2,0,5,1,0,0,0,191,Right Center Back,0.0,0.0,21.20418848167539,18.848167539267017,0.0,0.9424083769633508,0.4712041884816754,0.9424083769633508,0.0,2.356020942408377,0.0,0.0,0.0,1,0.8888888888888888,0,0.0,0,0.0,0.0,Defender,0.4712041884816754,0.0
1163,2022,Matthias Ginter,Germany,1,0,0,0.0,3,3,0,1,0,0,0,0,0,0,0,0,99,Center Back,0.0,0.0,2.727272727272727,2.727272727272727,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,0.0,Defender,0.0,0.0
1164,2022,Matthew Charles Turner,United States,4,0,0,0.0,126,98,0,0,0,17,0,0,0,0,0,0,386,Goalkeeper,0.0,0.0,29.378238341968913,22.849740932642487,0.0,0.0,0.0,3.963730569948187,0.0,0.0,0.0,0.0,0.0,1,0.7777777777777778,0,0.0,0,0.0,0.0,Goalkeeper,0.0,0.0
1165,2022,Mathías Olivera Miramontes,Uruguay,3,0,2,0.08,133,108,6,14,4,16,0,2,0,0,2,0,261,Left Back,0.0,0.6896551724137931,45.862068965517246,37.241379310344826,2.0689655172413794,4.827586206896552,1.3793103448275863,5.517241379310345,0.0,0.6896551724137931,0.6896551724137931,0.0,0.027586206896551727,1,0.8120300751879699,1,0.0,1,0.0,-0.08,Defender,0.0,0.0
1166,2022,Mathias Jensen,Denmark,2,0,2,0.05,68,53,4,3,0,0,0,2,1,0,1,1,153,Right Center Midfield,0.0,1.1764705882352942,40.0,31.176470588235293,2.3529411764705883,1.7647058823529411,0.0,0.0,0.0,1.1764705882352942,0.5882352941176471,0.5882352941176471,0.029411764705882356,1,0.7794117647058824,1,1.0,1,0.0,-0.05,Midfielder,0.5882352941176471,0.0
1167,2022,Mathew Ryan,Australia,4,0,0,0.0,163,112,0,0,0,20,0,0,0,0,1,1,381,Goalkeeper,0.0,0.0,38.503937007874015,26.456692913385826,0.0,0.0,0.0,4.724409448818897,0.0,0.0,0.23622047244094488,0.23622047244094488,0.0,1,0.6871165644171779,1,1.0,0,0.0,0.0,Goalkeeper,0.0,0.0
1168,2022,Matheus Luiz Nunes,Portugal,2,0,1,0.01,33,25,0,0,0,1,0,2,0,0,1,1,163,Right Center Midfield,0.0,0.5521472392638037,18.220858895705522,13.803680981595091,0.0,0.0,0.0,0.5521472392638037,0.0,1.1042944785276074,0.5521472392638037,0.5521472392638037,0.005521472392638037,1,0.7575757575757576,1,1.0,1,0.0,-0.01,Midfielder,0.0,0.0
